Seq. ID.	Class	AMP Probability
RDKIT_SHAPRULEMISMATCH_00120	NAMP	0.08
RDKIT_SHAPRULEMISMATCH_00121	AMP	0.74
RDKIT_SHAPRULEMISMATCH_00122	NAMP	0.03
RDKIT_SHAPRULEMISMATCH_00123	NAMP	0.27
RDKIT_SHAPRULEMISMATCH_00124	NAMP	0.42
RDKIT_SHAPRULEMISMATCH_00125	NAMP	0.14
RDKIT_SHAPRULEMISMATCH_00126	NAMP	0.22
RDKIT_SHAPRULEMISMATCH_00127	NAMP	0.04
RDKIT_SHAPRULEMISMATCH_00128	NAMP	0.05
RDKIT_SHAPRULEMISMATCH_00129	NAMP	0.05
RDKIT_SHAPRULEMISMATCH_00130	NAMP	0.07
RDKIT_SHAPRULEMISMATCH_00131	NAMP	0.09
RDKIT_SHAPRULEMISMATCH_00132	AMP	0.66
RDKIT_SHAPRULEMISMATCH_00133	NAMP	0.23
RDKIT_SHAPRULEMISMATCH_00134	NAMP	0.20
RDKIT_SHAPRULEMISMATCH_00135	NAMP	0.47
RDKIT_SHAPRULEMISMATCH_00136	AMP	0.63
RDKIT_SHAPRULEMISMATCH_00137	AMP	0.84
RDKIT_SHAPRULEMISMATCH_00138	NAMP	0.12
RDKIT_SHAPRULEMISMATCH_00139	NAMP	0.10
RDKIT_SHAPRULEMISMATCH_00140	NAMP	0.19
RDKIT_SHAPRULEMISMATCH_00141	AMP	0.82
RDKIT_SHAPRULEMISMATCH_00142	AMP	0.82
RDKIT_SHAPRULEMISMATCH_00143	NAMP	0.10
RDKIT_SHAPRULEMISMATCH_00144	NAMP	0.05
RDKIT_SHAPRULEMISMATCH_00145	AMP	0.94
RDKIT_SHAPRULEMISMATCH_00146	AMP	0.95
RDKIT_SHAPRULEMISMATCH_00147	AMP	0.93
RDKIT_SHAPRULEMISMATCH_00148	AMP	1.00
RDKIT_SHAPRULEMISMATCH_00149	AMP	0.58
RDKIT_SHAPRULEMISMATCH_00150	NAMP	0.31
RDKIT_SHAPRULEMISMATCH_00151	NAMP	0.06
RDKIT_SHAPRULEMISMATCH_00152	NAMP	0.10
RDKIT_SHAPRULEMISMATCH_00153	AMP	0.97
RDKIT_SHAPRULEMISMATCH_00154	NAMP	0.07
RDKIT_SHAPRULEMISMATCH_00155	AMP	0.64
RDKIT_SHAPRULEMISMATCH_00156	NAMP	0.03
RDKIT_SHAPRULEMISMATCH_00157	NAMP	0.49
RDKIT_SHAPRULEMISMATCH_00158	NAMP	0.15
RDKIT_SHAPRULEMISMATCH_00159	NAMP	0.28
RDKIT_SHAPRULEMISMATCH_00160	NAMP	0.27
RDKIT_SHAPRULEMISMATCH_00161	NAMP	0.10
RDKIT_SHAPRULEMISMATCH_00162	NAMP	0.02
RDKIT_SHAPRULEMISMATCH_00163	NAMP	0.47
RDKIT_SHAPRULEMISMATCH_00164	NAMP	0.12
RDKIT_SHAPRULEMISMATCH_00165	NAMP	0.09
RDKIT_SHAPRULEMISMATCH_00166	NAMP	0.21
RDKIT_SHAPRULEMISMATCH_00167	NAMP	0.12
RDKIT_SHAPRULEMISMATCH_00168	NAMP	0.20
RDKIT_SHAPRULEMISMATCH_00169	AMP	0.65
RDKIT_SHAPRULEMISMATCH_00170	NAMP	0.02
RDKIT_SHAPRULEMISMATCH_00171	NAMP	0.49
RDKIT_SHAPRULEMISMATCH_00172	NAMP	0.47
RDKIT_SHAPRULEMISMATCH_00173	NAMP	0.04
RDKIT_SHAPRULEMISMATCH_00174	NAMP	0.07
RDKIT_SHAPRULEMISMATCH_00175	NAMP	0.11
RDKIT_SHAPRULEMISMATCH_00176	NAMP	0.32
RDKIT_SHAPRULEMISMATCH_00177	NAMP	0.14
RDKIT_SHAPRULEMISMATCH_00178	NAMP	0.02
RDKIT_SHAPRULEMISMATCH_00179	NAMP	0.21
RDKIT_SHAPRULEMISMATCH_00180	NAMP	0.05
RDKIT_SHAPRULEMISMATCH_00181	AMP	0.79
RDKIT_SHAPRULEMISMATCH_00182	NAMP	0.08
RDKIT_SHAPRULEMISMATCH_00183	NAMP	0.17
RDKIT_SHAPRULEMISMATCH_00184	NAMP	0.10
RDKIT_SHAPRULEMISMATCH_00185	NAMP	0.20
RDKIT_SHAPRULEMISMATCH_00186	NAMP	0.13
RDKIT_SHAPRULEMISMATCH_00187	NAMP	0.20
RDKIT_SHAPRULEMISMATCH_00188	NAMP	0.14
RDKIT_SHAPRULEMISMATCH_00189	NAMP	0.05
RDKIT_SHAPRULEMISMATCH_00190	NAMP	0.05
RDKIT_SHAPRULEMISMATCH_00191	AMP	0.98
RDKIT_SHAPRULEMISMATCH_00192	NAMP	0.17
RDKIT_SHAPRULEMISMATCH_00193	NAMP	0.42
RDKIT_SHAPRULEMISMATCH_00194	NAMP	0.35
RDKIT_SHAPRULEMISMATCH_00195	NAMP	0.05
RDKIT_SHAPRULEMISMATCH_00196	NAMP	0.09
RDKIT_SHAPRULEMISMATCH_00197	NAMP	0.05
RDKIT_SHAPRULEMISMATCH_00198	NAMP	0.30
RDKIT_SHAPRULEMISMATCH_00199	NAMP	0.28
RDKIT_SHAPRULEMISMATCH_00200	NAMP	0.29
RDKIT_SHAPRULEMISMATCH_00201	NAMP	0.05
RDKIT_SHAPRULEMISMATCH_00202	NAMP	0.06
RDKIT_SHAPRULEMISMATCH_00203	NAMP	0.36
RDKIT_SHAPRULEMISMATCH_00204	AMP	0.71
RDKIT_SHAPRULEMISMATCH_00205	NAMP	0.04
RDKIT_SHAPRULEMISMATCH_00206	NAMP	0.03
RDKIT_SHAPRULEMISMATCH_00207	NAMP	0.16
RDKIT_SHAPRULEMISMATCH_00208	NAMP	0.15
RDKIT_SHAPRULEMISMATCH_00209	NAMP	0.15
RDKIT_SHAPRULEMISMATCH_00210	NAMP	0.17
RDKIT_SHAPRULEMISMATCH_00211	NAMP	0.05
RDKIT_SHAPRULEMISMATCH_00212	NAMP	0.24
RDKIT_SHAPRULEMISMATCH_00213	NAMP	0.12
RDKIT_SHAPRULEMISMATCH_00214	NAMP	0.35
RDKIT_SHAPRULEMISMATCH_00215	NAMP	0.06
RDKIT_SHAPRULEMISMATCH_00216	NAMP	0.22
RDKIT_SHAPRULEMISMATCH_00217	AMP	0.69
RDKIT_SHAPRULEMISMATCH_00218	NAMP	0.22
RDKIT_SHAPRULEMISMATCH_00219	AMP	0.53
RDKIT_SHAPRULEMISMATCH_00220	AMP	0.91
RDKIT_SHAPRULEMISMATCH_00221	NAMP	0.07
RDKIT_SHAPRULEMISMATCH_00222	NAMP	0.11
RDKIT_SHAPRULEMISMATCH_00223	NAMP	0.14
RDKIT_SHAPRULEMISMATCH_00224	NAMP	0.26
RDKIT_SHAPRULEMISMATCH_00225	NAMP	0.18
RDKIT_SHAPRULEMISMATCH_00226	AMP	0.73
RDKIT_SHAPRULEMISMATCH_00227	NAMP	0.31
RDKIT_SHAPRULEMISMATCH_00228	NAMP	0.01
RDKIT_SHAPRULEMISMATCH_00229	NAMP	0.07
RDKIT_SHAPRULEMISMATCH_00230	NAMP	0.04
RDKIT_SHAPRULEMISMATCH_00231	NAMP	0.02
RDKIT_SHAPRULEMISMATCH_00232	NAMP	0.30
RDKIT_SHAPRULEMISMATCH_00233	NAMP	0.08
RDKIT_SHAPRULEMISMATCH_00234	AMP	0.67
RDKIT_SHAPRULEMISMATCH_00235	NAMP	0.21
RDKIT_SHAPRULEMISMATCH_00236	NAMP	0.05
RDKIT_SHAPRULEMISMATCH_00237	NAMP	0.07
RDKIT_SHAPRULEMISMATCH_00238	AMP	0.94
RDKIT_SHAPRULEMISMATCH_00239	NAMP	0.05
RDKIT_SHAPRULEMISMATCH_00240	AMP	0.76
RDKIT_SHAPRULEMISMATCH_00241	NAMP	0.26
RDKIT_SHAPRULEMISMATCH_00242	NAMP	0.36
RDKIT_SHAPRULEMISMATCH_00243	AMP	0.88
RDKIT_SHAPRULEMISMATCH_00244	NAMP	0.47
RDKIT_SHAPRULEMISMATCH_00245	NAMP	0.19
RDKIT_SHAPRULEMISMATCH_00246	AMP	0.72
RDKIT_SHAPRULEMISMATCH_00247	NAMP	0.27
RDKIT_SHAPRULEMISMATCH_00248	NAMP	0.48
RDKIT_SHAPRULEMISMATCH_00249	NAMP	0.24
RDKIT_SHAPRULEMISMATCH_00250	NAMP	0.04
RDKIT_SHAPRULEMISMATCH_00251	AMP	0.89
RDKIT_SHAPRULEMISMATCH_00252	AMP	0.99
RDKIT_SHAPRULEMISMATCH_00253	NAMP	0.10
RDKIT_SHAPRULEMISMATCH_00254	NAMP	0.07
RDKIT_SHAPRULEMISMATCH_00255	NAMP	0.45
RDKIT_SHAPRULEMISMATCH_00256	AMP	0.84
RDKIT_SHAPRULEMISMATCH_00257	AMP	0.70
RDKIT_SHAPRULEMISMATCH_00258	AMP	0.93
RDKIT_SHAPRULEMISMATCH_00259	AMP	0.61
RDKIT_SHAPRULEMISMATCH_00260	NAMP	0.17
RDKIT_SHAPRULEMISMATCH_00261	NAMP	0.05
RDKIT_SHAPRULEMISMATCH_00262	NAMP	0.14
RDKIT_SHAPRULEMISMATCH_00263	NAMP	0.30
RDKIT_SHAPRULEMISMATCH_00264	NAMP	0.08
RDKIT_SHAPRULEMISMATCH_00265	NAMP	0.07
RDKIT_SHAPRULEMISMATCH_00266	NAMP	0.05
RDKIT_SHAPRULEMISMATCH_00267	NAMP	0.09
RDKIT_SHAPRULEMISMATCH_00268	NAMP	0.02
RDKIT_SHAPRULEMISMATCH_00269	NAMP	0.20
RDKIT_SHAPRULEMISMATCH_00270	NAMP	0.21
RDKIT_SHAPRULEMISMATCH_00271	AMP	0.93
RDKIT_SHAPRULEMISMATCH_00272	NAMP	0.07
RDKIT_SHAPRULEMISMATCH_00273	AMP	0.92
RDKIT_SHAPRULEMISMATCH_00274	NAMP	0.03
RDKIT_SHAPRULEMISMATCH_00275	AMP	0.75
RDKIT_SHAPRULEMISMATCH_00276	NAMP	0.11
RDKIT_SHAPRULEMISMATCH_00277	NAMP	0.02
RDKIT_SHAPRULEMISMATCH_00278	NAMP	0.03
RDKIT_SHAPRULEMISMATCH_00279	NAMP	0.38
RDKIT_SHAPRULEMISMATCH_00280	AMP	0.95
RDKIT_SHAPRULEMISMATCH_00281	NAMP	0.29
RDKIT_SHAPRULEMISMATCH_00282	AMP	0.76
RDKIT_SHAPRULEMISMATCH_00283	NAMP	0.33
RDKIT_SHAPRULEMISMATCH_00284	NAMP	0.35
RDKIT_SHAPRULEMISMATCH_00285	NAMP	0.05
RDKIT_SHAPRULEMISMATCH_00286	NAMP	0.29
RDKIT_SHAPRULEMISMATCH_00287	AMP	0.99
RDKIT_SHAPRULEMISMATCH_00288	AMP	0.78
RDKIT_SHAPRULEMISMATCH_00289	NAMP	0.14
RDKIT_SHAPRULEMISMATCH_00290	NAMP	0.10
RDKIT_SHAPRULEMISMATCH_00291	NAMP	0.26
RDKIT_SHAPRULEMISMATCH_00292	NAMP	0.13
RDKIT_SHAPRULEMISMATCH_00293	NAMP	0.15
RDKIT_SHAPRULEMISMATCH_00294	NAMP	0.15
RDKIT_SHAPRULEMISMATCH_00295	NAMP	0.04
RDKIT_SHAPRULEMISMATCH_00296	AMP	0.74
RDKIT_SHAPRULEMISMATCH_00297	NAMP	0.05
RDKIT_SHAPRULEMISMATCH_00298	NAMP	0.03
RDKIT_SHAPRULEMISMATCH_00299	AMP	0.74
RDKIT_SHAPRULEMISMATCH_00300	NAMP	0.49
RDKIT_SHAPRULEMISMATCH_00301	NAMP	0.13
RDKIT_SHAPRULEMISMATCH_00302	NAMP	0.27
RDKIT_SHAPRULEMISMATCH_00303	NAMP	0.08
RDKIT_SHAPRULEMISMATCH_00304	AMP	0.85
RDKIT_SHAPRULEMISMATCH_00305	NAMP	0.14
RDKIT_SHAPRULEMISMATCH_00306	NAMP	0.13
RDKIT_SHAPRULEMISMATCH_00307	NAMP	0.21
RDKIT_SHAPRULEMISMATCH_00308	NAMP	0.11
RDKIT_SHAPRULEMISMATCH_00309	AMP	0.68
RDKIT_SHAPRULEMISMATCH_00310	NAMP	0.04
RDKIT_SHAPRULEMISMATCH_00311	NAMP	0.30
RDKIT_SHAPRULEMISMATCH_00312	NAMP	0.10
RDKIT_SHAPRULEMISMATCH_00313	AMP	0.99
RDKIT_SHAPRULEMISMATCH_00314	NAMP	0.40
RDKIT_SHAPRULEMISMATCH_00315	NAMP	0.45
RDKIT_SHAPRULEMISMATCH_00316	NAMP	0.08
RDKIT_SHAPRULEMISMATCH_00317	NAMP	0.31
RDKIT_SHAPRULEMISMATCH_00318	NAMP	0.10
RDKIT_SHAPRULEMISMATCH_00319	AMP	0.99
RDKIT_SHAPRULEMISMATCH_00320	AMP	0.61
RDKIT_SHAPRULEMISMATCH_00321	AMP	0.94
RDKIT_SHAPRULEMISMATCH_00322	NAMP	0.06
RDKIT_SHAPRULEMISMATCH_00323	NAMP	0.02
RDKIT_SHAPRULEMISMATCH_00324	NAMP	0.09
RDKIT_SHAPRULEMISMATCH_00325	NAMP	0.07
RDKIT_SHAPRULEMISMATCH_00326	NAMP	0.45
RDKIT_SHAPRULEMISMATCH_00327	NAMP	0.45
RDKIT_SHAPRULEMISMATCH_00328	NAMP	0.16
RDKIT_SHAPRULEMISMATCH_00329	NAMP	0.09
RDKIT_SHAPRULEMISMATCH_00330	NAMP	0.12
RDKIT_SHAPRULEMISMATCH_00331	AMP	0.65
RDKIT_SHAPRULEMISMATCH_00332	NAMP	0.37
RDKIT_SHAPRULEMISMATCH_00333	NAMP	0.34
RDKIT_SHAPRULEMISMATCH_00334	AMP	0.90
RDKIT_SHAPRULEMISMATCH_00335	NAMP	0.17
RDKIT_SHAPRULEMISMATCH_00336	NAMP	0.09
RDKIT_SHAPRULEMISMATCH_00337	NAMP	0.13
RDKIT_SHAPRULEMISMATCH_00338	NAMP	0.34
RDKIT_SHAPRULEMISMATCH_00339	NAMP	0.04
RDKIT_SHAPRULEMISMATCH_00340	AMP	0.86
RDKIT_SHAPRULEMISMATCH_00341	NAMP	0.23
RDKIT_SHAPRULEMISMATCH_00342	NAMP	0.27
RDKIT_SHAPRULEMISMATCH_00343	NAMP	0.09
RDKIT_SHAPRULEMISMATCH_00344	NAMP	0.16
RDKIT_SHAPRULEMISMATCH_00345	NAMP	0.16
RDKIT_SHAPRULEMISMATCH_00346	NAMP	0.36
RDKIT_SHAPRULEMISMATCH_00347	NAMP	0.23
RDKIT_SHAPRULEMISMATCH_00348	NAMP	0.07
RDKIT_SHAPRULEMISMATCH_00349	NAMP	0.19
RDKIT_SHAPRULEMISMATCH_00350	AMP	0.75
RDKIT_SHAPRULEMISMATCH_00351	NAMP	0.33
RDKIT_SHAPRULEMISMATCH_00352	NAMP	0.06
RDKIT_SHAPRULEMISMATCH_00353	NAMP	0.03
RDKIT_SHAPRULEMISMATCH_00354	NAMP	0.02
RDKIT_SHAPRULEMISMATCH_00355	NAMP	0.08
RDKIT_SHAPRULEMISMATCH_00356	NAMP	0.23
RDKIT_SHAPRULEMISMATCH_00357	NAMP	0.19
RDKIT_SHAPRULEMISMATCH_00358	NAMP	0.09
RDKIT_SHAPRULEMISMATCH_00359	NAMP	0.13
RDKIT_SHAPRULEMISMATCH_00360	AMP	0.72
RDKIT_SHAPRULEMISMATCH_00361	NAMP	0.11
RDKIT_SHAPRULEMISMATCH_00362	NAMP	0.30
RDKIT_SHAPRULEMISMATCH_00363	NAMP	0.04
RDKIT_SHAPRULEMISMATCH_00364	AMP	0.95
RDKIT_SHAPRULEMISMATCH_00365	NAMP	0.02
RDKIT_SHAPRULEMISMATCH_00366	NAMP	0.03
RDKIT_SHAPRULEMISMATCH_00367	NAMP	0.08
RDKIT_SHAPRULEMISMATCH_00368	NAMP	0.09
RDKIT_SHAPRULEMISMATCH_00369	NAMP	0.11
RDKIT_SHAPRULEMISMATCH_00370	AMP	0.69
RDKIT_SHAPRULEMISMATCH_00371	NAMP	0.11
RDKIT_SHAPRULEMISMATCH_00372	NAMP	0.18
RDKIT_SHAPRULEMISMATCH_00373	AMP	0.81
RDKIT_SHAPRULEMISMATCH_00374	NAMP	0.03
RDKIT_SHAPRULEMISMATCH_00375	NAMP	0.02
RDKIT_SHAPRULEMISMATCH_00376	NAMP	0.09
RDKIT_SHAPRULEMISMATCH_00377	NAMP	0.04
RDKIT_SHAPRULEMISMATCH_00378	NAMP	0.11
RDKIT_SHAPRULEMISMATCH_00379	NAMP	0.20
RDKIT_SHAPRULEMISMATCH_00380	NAMP	0.04
RDKIT_SHAPRULEMISMATCH_00381	NAMP	0.13
RDKIT_SHAPRULEMISMATCH_00382	AMP	0.64
RDKIT_SHAPRULEMISMATCH_00383	AMP	0.65
RDKIT_SHAPRULEMISMATCH_00384	NAMP	0.03
RDKIT_SHAPRULEMISMATCH_00385	NAMP	0.23
RDKIT_SHAPRULEMISMATCH_00386	AMP	0.77
RDKIT_SHAPRULEMISMATCH_00387	NAMP	0.26
RDKIT_SHAPRULEMISMATCH_00388	NAMP	0.11
RDKIT_SHAPRULEMISMATCH_00389	NAMP	0.19
RDKIT_SHAPRULEMISMATCH_00390	AMP	0.61
RDKIT_SHAPRULEMISMATCH_00391	NAMP	0.20
RDKIT_SHAPRULEMISMATCH_00392	NAMP	0.33
RDKIT_SHAPRULEMISMATCH_00393	NAMP	0.28
RDKIT_SHAPRULEMISMATCH_00394	AMP	0.88
RDKIT_SHAPRULEMISMATCH_00395	NAMP	0.41
RDKIT_SHAPRULEMISMATCH_00396	AMP	0.93
RDKIT_SHAPRULEMISMATCH_00397	NAMP	0.42
RDKIT_SHAPRULEMISMATCH_00398	NAMP	0.38
RDKIT_SHAPRULEMISMATCH_00399	AMP	0.60
RDKIT_SHAPRULEMISMATCH_00400	NAMP	0.32
RDKIT_SHAPRULEMISMATCH_00401	NAMP	0.08
RDKIT_SHAPRULEMISMATCH_00402	AMP	0.52
RDKIT_SHAPRULEMISMATCH_00403	NAMP	0.04
RDKIT_SHAPRULEMISMATCH_00404	NAMP	0.20
RDKIT_SHAPRULEMISMATCH_00405	NAMP	0.06
RDKIT_SHAPRULEMISMATCH_00406	NAMP	0.34
RDKIT_SHAPRULEMISMATCH_00407	NAMP	0.08
RDKIT_SHAPRULEMISMATCH_00408	NAMP	0.17
RDKIT_SHAPRULEMISMATCH_00409	AMP	0.94
RDKIT_SHAPRULEMISMATCH_00410	NAMP	0.28
RDKIT_SHAPRULEMISMATCH_00411	AMP	0.81
RDKIT_SHAPRULEMISMATCH_00412	AMP	0.99
RDKIT_SHAPRULEMISMATCH_00413	NAMP	0.05
RDKIT_SHAPRULEMISMATCH_00414	NAMP	0.28
RDKIT_SHAPRULEMISMATCH_00415	NAMP	0.05
RDKIT_SHAPRULEMISMATCH_00416	AMP	0.82
RDKIT_SHAPRULEMISMATCH_00417	NAMP	0.15
RDKIT_SHAPRULEMISMATCH_00418	NAMP	0.15
RDKIT_SHAPRULEMISMATCH_00419	AMP	0.58
RDKIT_SHAPRULEMISMATCH_00420	AMP	0.95
RDKIT_SHAPRULEMISMATCH_00421	NAMP	0.47
RDKIT_SHAPRULEMISMATCH_00422	NAMP	0.16
RDKIT_SHAPRULEMISMATCH_00423	NAMP	0.12
RDKIT_SHAPRULEMISMATCH_00424	NAMP	0.20
RDKIT_SHAPRULEMISMATCH_00425	AMP	0.80
RDKIT_SHAPRULEMISMATCH_00426	NAMP	0.27
RDKIT_SHAPRULEMISMATCH_00427	NAMP	0.10
RDKIT_SHAPRULEMISMATCH_00428	AMP	0.68
RDKIT_SHAPRULEMISMATCH_00429	NAMP	0.45
RDKIT_SHAPRULEMISMATCH_00430	NAMP	0.40
RDKIT_SHAPRULEMISMATCH_00431	NAMP	0.32
RDKIT_SHAPRULEMISMATCH_00432	AMP	0.95
RDKIT_SHAPRULEMISMATCH_00433	NAMP	0.26
RDKIT_SHAPRULEMISMATCH_00434	NAMP	0.06
RDKIT_SHAPRULEMISMATCH_00435	NAMP	0.18
RDKIT_SHAPRULEMISMATCH_00436	NAMP	0.06
RDKIT_SHAPRULEMISMATCH_00437	NAMP	0.10
RDKIT_SHAPRULEMISMATCH_00438	NAMP	0.30
RDKIT_SHAPRULEMISMATCH_00439	NAMP	0.07
